political_party,sitting_year,keyword,score
ανεξαρτητοι (εκτος κομματος),1999,πολιτικ,0.21162431788227423
ανεξαρτητοι (εκτος κομματος),1999,πρεπ,0.5375588585629131
ανεξαρτητοι (εκτος κομματος),1999,υγει,0.11427322910390972
ανεξαρτητοι (εκτος κομματος),2000,οποι,0.1828983977781965
ανεξαρτητοι (εκτος κομματος),2000,πρεπ,0.14674291633088904
ανεξαρτητοι (εκτος κομματος),2000,τραπεζ,0.13516475482404824
ανεξαρτητοι (εκτος κομματος),2003,αρθρ,0.44734062842364375
ανεξαρτητοι (εκτος κομματος),2003,νομοσχεδι,0.5712451205537192
ανεξαρτητοι (εκτος κομματος),2003,πολιτικ,0.11006705763083638
ανεξαρτητοι (εκτος κομματος),2003,υγει,0.13514125768753815
ανεξαρτητοι (εκτος κομματος),2004,αρθρ,0.5942956154186043
ανεξαρτητοι (εκτος κομματος),2004,μου,0.6759674534715995
ανεξαρτητοι (εκτος κομματος),2004,νομοσχεδι,0.5769348172495067
ανεξαρτητοι (εκτος κομματος),2004,οποι,0.4258631626497265
ανεξαρτητοι (εκτος κομματος),2004,προεδρ,0.37715278889548776
ανεξαρτητοι (εκτος κομματος),2004,τραπεζ,0.47280929500966307
ανεξαρτητοι (εκτος κομματος),2004,υπουργ,0.26029191595105006
ανεξαρτητοι (εκτος κομματος),2005,αρθρ,0.12599840392461184
ανεξαρτητοι (εκτος κομματος),2005,μου,0.958735693986733
ανεξαρτητοι (εκτος κομματος),2005,νομοσχεδι,1.0046746001621587
ανεξαρτητοι (εκτος κομματος),2005,οποι,1.237219190603629
ανεξαρτητοι (εκτος κομματος),2005,πολιτικ,0.40771847243314485
ανεξαρτητοι (εκτος κομματος),2005,προεδρ,0.8049291561726063
ανεξαρτητοι (εκτος κομματος),2005,τραπεζ,0.9876978498391664
ανεξαρτητοι (εκτος κομματος),2005,υπουργ,0.47145172076716135
ανεξαρτητοι (εκτος κομματος),2006,αρθρ,0.7248152953917072
ανεξαρτητοι (εκτος κομματος),2006,μου,0.6894805360000856
ανεξαρτητοι (εκτος κομματος),2006,νομοσχεδι,0.448770205577097
ανεξαρτητοι (εκτος κομματος),2006,οποι,0.8073277756686004
ανεξαρτητοι (εκτος κομματος),2006,πρεπ,0.2611218402866021
ανεξαρτητοι (εκτος κομματος),2006,προεδρ,0.398707708270708
ανεξαρτητοι (εκτος κομματος),2006,υπουργ,0.5740958293592966
ανεξαρτητοι (εκτος κομματος),2007,αρθρ,0.751450028644699
ανεξαρτητοι (εκτος κομματος),2007,μου,0.2923151434253286
ανεξαρτητοι (εκτος κομματος),2007,νομοσχεδι,0.6099767417365398
ανεξαρτητοι (εκτος κομματος),2007,οποι,0.5111350917401944
ανεξαρτητοι (εκτος κομματος),2007,υπουργ,0.12868736801362982
ανεξαρτητοι (εκτος κομματος),2010,αρθρ,2.951936342598508
ανεξαρτητοι (εκτος κομματος),2010,μου,0.8933054667943245
